t,cpu_avg_pct,gpu_pct,ram_used_mb,vdd_in_mw,vdd_cpu_mw,vdd_gpu_mw,vdd_soc_mw,gpu_temp_c,cpu_temp_c
0,25.0,40,6490,6264,,,,,
1,48.1,41,6497,7806,,,,,
2,34.7,41,6495,7201,,,,,
3,28.6,47,6496,6347,,,,,
4,28.3,38,6496,6306,,,,,
5,29.6,51,6496,6223,,,,,
6,49.6,41,6504,7613,,,,,
7,33.9,52,6504,7407,,,,,
8,35.3,40,6492,7078,,,,,
9,46.4,43,6471,7613,,,,,
10,37.0,49,6429,6831,,,,,
11,31.3,39,6441,6995,,,,,
12,36.0,52,6441,7407,,,,,
13,32.4,52,6451,6707,,,,,
14,26.3,39,6452,6388,,,,,
15,28.6,58,6452,6264,,,,,
16,30.1,37,6453,6512,,,,,
17,36.4,38,6449,7325,,,,,
18,46.6,39,6445,7765,,,,,
19,29.0,40,6445,6223,,,,,
20,24.4,55,6445,6141,,,,,
21,26.3,38,6445,6182,,,,,
22,34.4,38,6448,7201,,,,,
23,33.6,45,6454,7078,,,,,
24,26.0,38,6454,6223,,,,,
25,29.6,40,6454,6264,,,,,
26,27.1,41,6454,6017,,,,,
27,32.7,54,6446,6995,,,,,
28,35.1,39,6446,7325,,,,,
29,25.0,49,6454,6141,,,,,
30,28.7,45,6455,6182,,,,,
31,28.7,48,6455,6264,,,,,
32,33.3,50,6455,6748,,,,,
33,35.0,39,6455,7283,,,,,
34,34.3,40,6459,6872,,,,,
35,25.9,41,6459,6429,,,,,
36,25.7,54,6459,6429,,,,,
37,29.3,38,6457,6666,,,,,
38,38.1,58,6457,7325,,,,,
39,29.4,37,7207,6141,,,,,
40,25.3,38,7208,6141,,,,,
41,48.3,41,7201,7847,,,,,
42,42.6,44,7198,7613,,,,,
43,36.3,52,7207,6995,,,,,
44,29.9,50,7210,6388,,,,,
45,30.6,48,7210,6347,,,,,
46,48.7,40,7168,7847,,,,,
47,55.7,38,7147,8012,,,,,
48,49.4,44,7184,7806,,,,,
49,40.7,38,7168,7489,,,,,
50,36.4,38,7182,7448,,,,,
51,35.4,39,7170,7325,,,,,
52,49.9,52,7163,8176,,,,,
53,49.4,48,7162,8053,,,,,
54,46.0,44,7151,8984,,,,,
55,45.2,53,7264,9353,,,,,
56,50.2,47,7266,9558,,,,,
57,50.8,57,7250,10280,,,,,
58,52.8,40,7254,10772,,,,,
59,51.4,57,7267,10690,,,,,
60,44.4,40,7267,10076,,,,,
61,45.6,89,7257,10199,,,,,
62,44.8,93,7259,10526,,,,,
63,58.0,45,7257,11205,,,,,
64,57.9,45,7259,11287,,,,,
65,45.9,56,7259,10403,,,,,
66,45.8,71,7262,10321,,,,,
67,44.5,35,7263,10567,,,,,
68,54.0,42,7262,11100,,,,,
69,57.2,28,7266,11287,,,,,
70,49.5,46,7270,10690,,,,,
71,46.0,37,7273,10690,,,,,
72,46.1,83,7266,10608,,,,,
73,55.4,95,7257,11164,,,,,
74,56.4,59,7265,11287,,,,,
75,46.9,72,7265,10772,,,,,
76,47.2,29,7269,10608,,,,,
77,47.2,46,7270,10608,,,,,
78,55.1,76,7189,11123,,,,,
79,52.5,41,7201,10977,,,,,
80,61.5,49,7187,10895,,,,,
81,47.4,39,7189,10280,,,,,
82,47.0,29,7189,10240,,,,,
83,45.2,85,7193,10608,,,,,
84,56.9,29,7181,11246,,,,,
85,53.9,43,7191,10977,,,,,
86,49.0,68,7189,10854,,,,,
87,47.4,57,7188,10772,,,,,
88,52.2,40,7179,10977,,,,,
89,56.5,31,7188,11287,,,,,
90,57.6,33,7183,11205,,,,,
91,48.4,44,7187,10813,,,,,
92,44.2,53,7189,10731,,,,,
93,45.6,81,7189,10608,,,,,
94,53.0,64,7185,11164,,,,,
95,57.2,41,7186,11369,,,,,
96,48.8,42,7184,10526,,,,,
97,42.2,79,7190,10199,,,,,
98,43.6,28,7192,10608,,,,,
99,53.0,86,7183,11082,,,,,
100,58.6,38,7186,11450,,,,,
101,51.0,92,7189,10854,,,,,
102,56.2,36,7191,11205,,,,,
103,44.9,44,7185,10403,,,,,
104,46.2,52,7190,10813,,,,,
105,55.9,29,7191,11328,,,,,
106,55.5,51,7187,10977,,,,,
107,48.4,81,7190,10772,,,,,
108,46.8,33,7183,10690,,,,,
109,47.8,50,7188,10649,,,,,
110,59.2,30,7184,11287,,,,,
111,59.9,56,7175,11205,,,,,
112,56.0,97,7122,10772,,,,,
113,47.6,39,7122,10280,,,,,
114,43.0,39,7122,10199,,,,,
115,51.2,84,7129,10854,,,,,
116,54.1,80,7141,11059,,,,,
117,43.4,88,7141,10362,,,,,
118,46.0,16,7142,10240,,,,,
119,45.0,49,7142,10649,,,,,
120,51.8,30,7140,11205,,,,,
121,57.5,66,7141,11491,,,,,
122,48.4,49,7145,10936,,,,,
123,58.6,97,6620,11205,,,,,
124,49.6,83,6528,10649,,,,,
125,51.1,89,6531,11082,,,,,
126,55.5,47,6533,11328,,,,,
127,49.2,94,6541,10895,,,,,
128,44.9,39,6542,10813,,,,,
129,43.1,28,6543,10649,,,,,
130,48.9,29,6547,11123,,,,,
131,54.6,94,6542,11450,,,,,
132,51.8,31,6552,11018,,,,,
133,45.6,28,6554,10690,,,,,
134,43.9,68,6554,10690,,,,,
135,45.8,28,6556,10854,,,,,
136,56.9,46,6558,11369,,,,,
137,53.1,91,6564,11164,,,,,
138,46.0,54,6559,10813,,,,,
139,45.5,57,6559,10772,,,,,
140,47.9,43,6560,10854,,,,,
141,54.0,36,6562,11369,,,,,
142,53.8,32,6569,11450,,,,,
143,48.4,86,6569,10895,,,,,
144,46.8,95,6569,10649,,,,,
145,46.1,65,6571,10731,,,,,
146,53.8,96,6570,11246,,,,,
147,60.1,65,6579,11450,,,,,
148,53.2,53,6650,10977,,,,,
149,53.6,40,6724,10977,,,,,
150,57.1,52,6726,10772,,,,,
151,48.9,99,6726,10731,,,,,
152,54.6,52,6728,11018,,,,,
153,48.8,40,6734,10485,,,,,
154,42.9,56,6735,10362,,,,,
155,45.0,51,6737,10321,,,,,
156,46.6,52,6738,10485,,,,,
157,53.9,99,6735,10977,,,,,
158,50.2,47,6744,10444,,,,,
159,55.6,38,6744,10444,,,,,
160,43.6,93,6745,10321,,,,,
161,45.8,42,6742,10362,,,,,
162,53.1,48,6748,10936,,,,,
163,55.6,37,6755,10772,,,,,
164,43.0,61,6756,10321,,,,,
165,42.0,39,6755,10280,,,,,
166,41.8,48,6755,10199,,,,,
167,50.4,53,6751,11059,,,,,
168,53.6,65,6760,11205,,,,,
169,44.8,45,6758,10567,,,,,
170,45.0,28,6759,10813,,,,,
171,47.1,46,6759,10772,,,,,
172,52.1,43,6759,11328,,,,,
173,56.5,36,6762,11532,,,,,
174,50.4,46,6770,11001,,,,,
175,49.8,39,6770,10936,,,,,
176,46.5,28,6769,10895,,,,,
177,53.9,66,6773,11287,,,,,
178,54.6,28,6776,11491,,,,,
179,47.4,43,6784,10854,,,,,
180,46.6,66,6787,10813,,,,,
181,48.4,28,6786,10854,,,,,
